Reference, Value, Footprint, Datasheet
CN2,ARDUINO,MODULE_compute:ARDUINO,
U1,DRA818,MODULE_RF:DRA818,
R5,DNI,resistors:R_0603,
R4,DNI,resistors:R_0603,
R12,100,resistors:R_0603,
D3,Led_green,LEDs:LED_0603,
R7,1k,resistors:R_0603,
R13,4k7,resistors:R_0603,
R14,1k,resistors:R_0603,
C5,100n,capacitors:C_0603,
R16,100,resistors:R_0603,
R18,100,resistors:R_0603,
CN5,CONN_01X03,pin_headers:Pin_Header_Straight_1x03,
R11,100,resistors:R_0603,
R9,100,resistors:R_0603,
R3,100,resistors:R_0603,
Q1,2N7002,SOT_TO:SOT-23,
R2,1k,resistors:R_0603,
R8,1k,resistors:R_0603,
Q2,2N7002,SOT_TO:SOT-23,
R10,1k,resistors:R_0603,
Q3,2N7002,SOT_TO:SOT-23,
R1,1k,resistors:R_0603,
R6,1k,resistors:R_0603,
D2,Led_yellow,LEDs:LED_0603,
D1,Led_red,LEDs:LED_0603,
L3,744912156,L_filter:WE-CAIR_4248,
L2,744912156,L_filter:WE-CAIR_4248,
L1,744912156,L_filter:WE-CAIR_4248,
C4,30p,capacitors:C_0603,
C3,47p,capacitors:C_0603,
C2,47p,capacitors:C_0603,
C1,30p,capacitors:C_0603,
CN1,60312202114509,CON_wuerth:WR-SMA-PCB,
U3,LM4871,SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm,
R22,100,resistors:R_0603,
R21,1k,resistors:R_0603,
C10,100n,capacitors:C_0603,
R20,20k,resistors:R_0603,
R19,20k,resistors:R_0603,
C13,1u,capacitors:C_0603,
C11,100n,capacitors:C_0603,
C12,100n,capacitors:C_0603,
R23,2k,resistors:R_0603,
CN6,CONN_01X02,pin_headers:Pin_Header_Straight_1x02,
U2,LT1085,SOT_TO:TO-263-3Lead,
R15,121,resistors:R_0603,
R17,330,resistors:R_0603,
C8,100n,capacitors:C_0603,
C9,10u,capacitors:C_0805,
C7,100n,capacitors:C_0603,
C6,10u,capacitors:C_0805,
SW2,ALPS_EC11E,mechanical-switches:ALPS_EC11E,
R25,1k,resistors:R_0603,
R24,1k,resistors:R_0603,
R26,1k,resistors:R_0603,
R27,4k7,resistors:R_0603,
C14,100n,capacitors:C_0603,
CN4,CON_KLINKE3,CON_lumberg:1501_03,
CN3,CON_KLINKE3,CON_lumberg:1503_08,
SW1,TAST_HOR,mechanical-switches:WE_4312x6xxx7x6,
R28,DNI,resistors:R_0603,
R29,DNI,resistors:R_0603,
R30,DNI,resistors:R_0603,
C15,470u,capacitors:c_elec_8x10.5,
R31,100,resistors:R_0603,
U5,SN74LVC1T45,SOT_TO:SOT-23-6,
U4,SN74LVC1T45,SOT_TO:SOT-23-6,
C20,100n,capacitors:C_0603,
C19,100n,capacitors:C_0603,
C18,100n,capacitors:C_0603,
C17,100n,capacitors:C_0603,
D4,BAT46ZFILM,diodes:SOD-123,
C16,100n,capacitors:C_0603,
S1,SW_DIP_x1,mechanical-switches:dip_1-300,
R32,DNI,resistors:R_0603,
