"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C1,C4";"C_1206";2;"30p";;;
2;"C2,C3";"C_1206";2;"47p";;;
3;"C5,C7,C8,C10,C11,C12,C14";"C_1206";7;"100n";;;
4;"C6,C9,C15";"C_1206";3;"10u";;;
5;"C13";"C_1206";1;"1u";;;
6;"CN1";"WR-SMA-PCB";1;"60312202114509";;;
7;"CN2";"ARDUINO";1;"ARDUINO";;;
8;"L1,L2,L3";"WE-CAIR_4248";3;"744912156";;;
9;"R1,R2,R6,R7,R8,R10,R14,R21,R24,R25,R26";"R_1206";11;"1k";;;
10;"R3,R4,R5,R9,R11,R12,R16,R18,R22";"R_1206";9;"100";;;
11;"R13,R27";"R_1206";2;"4k7";;;
12;"R15";"R_1206";1;"121";;;
13;"R17";"R_1206";1;"330";;;
14;"R19,R20";"R_1206";2;"20k";;;
15;"R23";"R_1206";1;"2k";;;
16;"U1";"DRA818";1;"DRA818";;;
17;"U2";"TO-263-3Lead";1;"LT1085";;;
18;"U3";"SOIC-8_3.9x4.9mm_Pitch1.27mm";1;"LM4871";;;
19;"D1,D2,D3";"LED_1206";3;"Led_Small";;;
20;"Q1,Q2,Q3";"SOT-23";3;"2N7002";;;
21;"SW2";"ALPS_EC11E";1;"ALPS_EC11E";;;
22;"CN3";"1503_08";1;"CON_KLINKE3";;;
23;"CN4";"1501_03";1;"CON_KLINKE3";;;
24;"SW1";"WE_4312x6xxx7x6";1;"TAST_HOR";;;
25;"R28,R29,R30";"R_1206";3;"DNI";;;
26;"CN5";"Pin_Header_Straight_1x03";1;"CONN_01X03";;;
27;"CN6";"Pin_Header_Straight_1x02";1;"CONN_01X02";;;
